Time,Channel A,Channel H
(ms),(V),(V)

-95.07206675,1.65532300,4.88340900
-95.06206675,1.65791700,4.87242100
-95.05206675,1.65532300,4.87791500
-95.04206675,1.65791700,4.87791500
-95.03206675,1.65532300,4.87791500
-95.02206675,1.65532300,4.86723200
-95.01206675,1.65791700,4.87242100
-95.00206675,1.65532300,4.88340900
-94.99206675,1.65532300,4.87791500
-94.98206675,1.65791700,4.87791500
-94.97206675,1.66341100,4.87791500
-94.96206675,1.65791700,4.87242100
-94.95206675,1.65532300,4.88340900
-94.94206675,1.65257600,4.87242100
-94.93206675,1.65532300,4.87242100
-94.92206675,1.65532300,4.87791500
-94.91206675,1.65257600,4.88340900
-94.90206675,1.65532300,4.88340900
-94.89206675,1.65791700,4.87242100
-94.88206675,1.65532300,4.86723200
-94.87206675,1.65532300,4.87791500
-94.86206675,1.65257600,4.87242100
-94.85206675,1.65532300,4.87791500
-94.84206675,1.65791700,4.87791500
-94.83206675,1.65791700,4.86173800
-94.82206675,1.65532300,4.87791500
-94.81206675,1.65257600,4.86723200
-94.80206675,1.66066400,4.88340900
-94.79206675,1.65532300,4.87791500
-94.78206675,1.65532300,4.87791500
-94.77206675,1.65532300,4.86723200
-94.76206675,1.65532300,4.87242100
-94.75206675,1.65532300,4.87242100
-94.74206675,1.65791700,4.87791500
-94.73206675,1.65532300,4.88859700
-94.72206675,1.65532300,4.87791500
-94.71206676,1.65791700,4.87242100
-94.70206676,1.65791700,4.87242100
-94.69206676,1.65791700,4.87791500
-94.68206676,1.65791700,4.87242100
-94.67206676,1.65532300,4.86723200
-94.66206676,1.65532300,4.88859700
-94.65206676,1.65791700,4.88340900
-94.64206676,1.65532300,4.86723200
-94.63206676,1.65791700,4.87242100
-94.62206676,1.65791700,4.88340900
-94.61206676,1.65791700,4.87791500
-94.60206676,1.65791700,4.86723200
-94.59206676,1.65532300,4.87242100
-94.58206676,1.65791700,4.86723200
-94.57206676,1.65791700,4.86723200
-94.56206676,1.65791700,4.87242100
-94.55206676,1.65791700,4.86723200
-94.54206676,1.65791700,4.87242100
-94.53206676,1.65532300,4.87242100
-94.52206676,1.65791700,4.87242100
-94.51206676,1.65532300,4.87791500
-94.50206676,1.65791700,4.88340900
-94.49206676,1.65791700,4.87791500
-94.48206676,1.65791700,4.86723200
-94.47206676,1.65532300,4.87242100
-94.46206676,1.65532300,4.87791500
-94.45206676,1.65791700,4.86723200
-94.44206676,1.65791700,4.87242100
-94.43206676,1.65791700,4.87791500
-94.42206676,1.65257600,4.87242100
-94.41206676,1.65257600,4.86723200
-94.40206676,1.65532300,4.87242100
-94.39206676,1.65791700,4.87242100
-94.38206676,1.65257600,4.86723200
-94.37206676,1.65532300,4.87242100
-94.36206676,1.65532300,4.87242100
